,Mass,Intensity,RT
1886,300.2020074279668,3773.0422,2068.21630859375
1887,300.50055806035414,10740.096,2068.21630859375
1888,300.83402632561547,3281.9182,2068.21630859375
1889,301.12881401557996,4929.0913,2068.21630859375
1890,300.089490449737,6791.1426,2070.92919921875
1891,300.16576552431843,37512.68,2070.92919921875
1892,300.20196782862365,3534.394,2070.92919921875
1893,300.500420418776,10720.256,2070.92919921875
1894,301.141454970631,37314.89,2070.92919921875
1895,302.1448522390496,4882.115,2070.92919921875
1896,300.08960290780567,7798.69,2072.11108398438
1897,300.16574949670485,33609.348,2072.11108398438
1898,300.2019786644314,3083.1162,2072.11108398438
1899,300.500239134661,14860.11,2072.11108398438
1900,300.8314519788446,2307.979,2072.11108398438
1901,301.1414158245975,31935.086,2072.11108398438
1902,300.0896613693493,6925.4897,2074.3701171875
1903,300.1658137179279,41404.055,2074.3701171875
1904,300.20205536075827,3728.3755,2074.3701171875
1905,300.50035622878437,10250.996,2074.3701171875
1906,301.14148012638236,36564.625,2074.3701171875
1907,302.1449674680896,3642.7163,2074.3701171875
1908,300.165689141882,37720.652,2077.0185546875
1909,300.5000882794058,8186.6987,2077.0185546875
1910,301.1413144505693,38074.594,2077.0185546875
1911,302.160156744351,7290.9033,2077.0185546875
1912,304.2485678837985,35298.16,2077.0185546875
1913,305.17085995916227,11055.142,2077.0185546875
1914,300.08965295997075,8112.3755,2079.67431640625
1915,300.1656805942475,27471.668,2079.67431640625
1916,300.5003938535001,8817.878,2079.67431640625
1917,301.14140113247726,32598.035,2079.67431640625
1918,302.1601100114617,9953.892,2079.67431640625
1919,304.24869946362975,35275.418,2079.67431640625
1920,300.08954426983394,7396.2783,2082.2451171875
1921,300.16579055528297,32084.773,2082.2451171875
1922,300.2022163872115,4172.713,2082.2451171875
1923,300.50036752170695,14963.034,2082.2451171875
1924,301.1415452499784,32676.438,2082.2451171875
1925,301.9881249119642,2648.7058,2082.2451171875
1926,300.08951164064354,4779.2256,2084.91577148438
1927,300.1115032021131,1461.4258,2084.91577148438
1928,300.1658490452645,34641.355,2084.91577148438
1929,300.2018460414731,4063.5447,2084.91577148438
1930,300.500330052266,7912.795,2084.91577148438
1931,300.83444555413297,2232.271,2084.91577148438
1932,300.02997169379955,998.8133,2087.48876953125
1933,300.08958055063147,6511.6035,2087.48876953125
1934,300.1450608534256,1748.7087,2087.48876953125
1935,300.16590650358194,38863.992,2087.48876953125
1936,300.20188529781984,3257.0747,2087.48876953125
1937,300.2983303879298,1137.4695,2087.48876953125
1938,300.02966483089637,1084.9265,2090.21142578125
1939,300.0896101177245,5571.022,2090.21142578125
1940,300.1120600693464,1461.2307,2090.21142578125
1941,300.14458589804985,1596.3306,2090.21142578125
1942,300.1657863971534,26266.705,2090.21142578125
1943,300.20191864981996,2881.968,2090.21142578125
1944,300.02950486924624,1403.8071,2092.81127929688
1945,300.0898806512894,7088.063,2092.81127929688
1946,300.165973603775,30218.39,2092.81127929688
1947,300.1815461934177,1039.3503,2092.81127929688
1948,300.2020656068487,2511.757,2092.81127929688
1949,300.29814792777165,1310.9387,2092.81127929688
1950,300.02957735570385,1402.421,2094.08325195312
1951,300.0896281222433,7035.354,2094.08325195312
1952,300.14430085553334,1748.4758,2094.08325195312
1953,300.16584569539623,30399.396,2094.08325195312
1954,300.18034579025897,1180.2809,2094.08325195312
1955,300.2018187190415,2668.5422,2094.08325195312
1956,300.06566869227925,1044.5917,2095.73828125
1957,300.07220260903097,1194.6895,2095.73828125
1958,300.08954369125814,8537.664,2095.73828125
1959,300.11123222675957,1554.1013,2095.73828125
1960,300.14449261289536,2347.7024,2095.73828125
1961,300.16591468764784,30579.234,2095.73828125
1962,300.02935066632097,1030.3047,2097.31640625
1963,300.0619790579457,1269.2483,2097.31640625
1964,300.08942626822284,3836.5962,2097.31640625
1965,300.11077339880194,1424.091,2097.31640625
1966,300.1445880713346,2320.2478,2097.31640625
1967,300.1658720247656,25547.11,2097.31640625
1968,300.029545010465,1075.5504,2099.32836914062
1969,300.0896139657481,6115.276,2099.32836914062
1970,300.1110963322251,1586.2412,2099.32836914062
1971,300.1443384702468,1526.601,2099.32836914062
1972,300.16602239386475,27284.803,2099.32836914062
1973,300.2022487176265,3083.3103,2099.32836914062
1974,300.0899061979569,4883.953,2101.30908203125
1975,300.14469311372557,2247.7551,2101.30908203125
1976,300.16596556600007,31669.6,2101.30908203125
1977,300.20178796730164,2596.4348,2101.30908203125
1978,300.5000450854676,11016.834,2101.30908203125
1979,300.8341157820811,1621.3152,2101.30908203125
1980,300.0898265672594,8308.684,2102.9033203125
1981,300.1444264213644,2247.3884,2102.9033203125
1982,300.16578037355816,26750.742,2102.9033203125
1983,300.2020987397047,4304.4697,2102.9033203125
1984,300.50044945401646,11737.186,2102.9033203125
1985,300.8340270265736,2502.2195,2102.9033203125
1986,300.08966542949486,8007.364,2104.3916015625
1987,300.1657995046535,32516.041,2104.3916015625
1988,300.5003148725863,13664.615,2104.3916015625
1989,301.1414709937664,36973.51,2104.3916015625
